GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153703,0.920684836,0.648148148,0.7267645,0.089098532,0.288259958,0.857791754,0.524109015,0.016906171,0.28317836,0,2.6,0.162473795,0.751222921,0.087351502,37
59153704,0.767414404,0.584415584,0.761511216,0.041322314,0.247933884,0.779220779,0.495867769,0.384615385,0,0,3.2,0.141676505,0.708382527,0.153482881,40.9
59153705,0.947556615,0.715137068,0.667461263,0.023837902,0.280095352,0.798569726,0.584028605,0.071684588,0,0,3.1,0.184743743,0.721096544,0.095351609,37
59153706,0.894472362,0.688442211,0.819095477,0.045226131,0.306532663,0.864321608,0.527638191,0.283286119,0,0,3,0.175879397,0.728643216,0.095477387,36.6
59153707,0.807962529,0.655737705,0.784543326,0.023419204,0.316159251,0.807962529,0.544496487,0.230263158,0,0,3,0.158079625,0.743559719,0.099531616,38.6
59153708,0.893042575,0.659397715,0.825545171,0.020768432,0.33748702,0.851505711,0.555555556,0.01510574,0,0,2.9,0.171339564,0.737279335,0.088265836,38
59153709,1.001053741,0.753424658,0.853530032,0.036880927,0.31085353,0.869336143,0.542676502,0,0,0,3,0.163329821,0.727081138,0.110642782,38.9
59153710,0.697916667,0.520833333,0.833333333,0.052083333,0.21875,0.84375,0.510416667,0.562913907,0.033112583,0,3.3,0.177083333,0.708333333,0.114583333,38.7
59153711,0.762867647,0.533088235,0.744485294,0.055147059,0.220588235,0.836397059,0.46875,0.548780488,0,0,3.5,0.165441176,0.735294118,0.110294118,38.1
59153712,0.67,0.48,0.77,0.07,0.21,0.86,0.52,0.620689655,0,0,3.6,0.18,0.7,0.13,39.8
59153713,0.788787484,0.586701434,0.990873533,0.039113429,0.241199478,1,0.514993481,0.598290598,0,0,3.6,0.17601043,0.736636245,0.091264668,37.2
59153714,0.780619112,0.551816958,0.807537012,0.060565276,0.215343203,0.888290713,0.471063257,0.440528634,0,0,3.7,0.215343203,0.69986541,0.074024226,34.9
59153715,0.626649077,0.474934037,0.874010554,0.056068602,0.267150396,0.95646438,0.458443272,0.137254902,0,0,3.2,0.211081794,0.712401055,0.079155673,35.1
59153716,0.602263541,0.557801132,0.836701698,0.040420372,0.339531124,0.998383185,0.464834276,0,0,0,2.6,0.141471302,0.715440582,0.145513339,40
59153717,0.771604938,0.555555556,0.87962963,0.154320988,0.339506173,1,0.439814815,0,0.153846154,0,2,0.154320988,0.740740741,0.108024691,38.4
59153718,0.601173021,0.417888563,0.586510264,0.073313783,0.139296188,0.615835777,0.439882698,0.233918129,0,0,3.5,0.139296188,0.747800587,0.109970674,39.4
59153719,0.680933852,0.496108949,0.817120623,0.107003891,0.16536965,0.924124514,0.476653696,0.272108844,0,0,3.8,0.194552529,0.680933852,0.13618677,36.9
59153720,0.72407045,0.53816047,0.772994129,0.107632094,0.156555773,0.861056751,0.450097847,0.243055556,0,0,3.8,0.195694716,0.665362035,0.127201566,36.9
59153721,0.539568345,0.377697842,0.92176259,0.067446043,0.224820144,0.975719424,0.517086331,0.396174863,0,0,3.4,0.206834532,0.701438849,0.085431655,35.4
59153722,0.430107527,0.322580645,1.061827957,0.053763441,0.309139785,1,0.470430108,0.675675676,0,0,2.8,0.161290323,0.64516129,0.188172043,41.7
59153723,0.09202454,0.107361963,0.751533742,0.122699387,0.168711656,0.751533742,0.475460123,0.639097744,0,0,2.9,0.122699387,0.720858896,0.168711656,43.9
59153724,0.071599045,0.08353222,1.050119332,0.071599045,0.262529833,1,0.53699284,0.782312925,0,0,2.9,0.143198091,0.680190931,0.167064439,42.9
59153725,0.236406619,0.260047281,0.815602837,0.059101655,0.212765957,0.815602837,0.555555556,0.738255034,0,0,3,0.11820331,0.685579196,0.200945626,44.5
59153726,0.406354515,0.297658863,0.924749164,0.118729097,0.239130435,1,0.483277592,0.292266187,0,0,2.9,0.235785953,0.700668896,0.063545151,32.4
59153728,0.250412201,0.211253092,0.901690025,0.111294312,0.301937345,0.954245672,0.490519373,0.193330111,0.065248913,0,2.4,0.220527617,0.710016488,0.070074196,33.5
